epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,9070.12,0.83252,0.52675,0.94557,0.59853,0.55571,0.55625,0.36313,0.98379,0.69914,1.22114,0.0047332,0.0047332,0.0047332
135,9137.63,0.82963,0.51996,0.9483,0.63268,0.54726,0.55656,0.36199,0.98301,0.70709,1.21432,0.0046936,0.0046936,0.0046936
136,9204.96,0.83137,0.52376,0.94464,0.61933,0.5579,0.55765,0.36258,0.97652,0.69859,1.21271,0.004654,0.004654,0.004654
137,9272.21,0.82824,0.51977,0.94714,0.61016,0.55956,0.55881,0.36237,0.97789,0.70177,1.2192,0.0046144,0.0046144,0.0046144
138,9339.59,0.8222,0.51823,0.94616,0.70117,0.51346,0.55771,0.36395,0.98426,0.68946,1.22585,0.0045748,0.0045748,0.0045748
139,9406.72,0.82509,0.51454,0.94365,0.67984,0.52234,0.56024,0.3637,0.97381,0.69319,1.21287,0.0045352,0.0045352,0.0045352
140,9474.07,0.81068,0.50632,0.93978,0.63846,0.55014,0.56496,0.36685,0.96821,0.68033,1.20191,0.0044956,0.0044956,0.0044956
141,9541.42,0.8149,0.50675,0.93825,0.68046,0.53442,0.56474,0.36729,0.97334,0.68693,1.20506,0.004456,0.004456,0.004456
142,9608.9,0.82059,0.50985,0.93941,0.63501,0.55061,0.56366,0.36491,0.96524,0.69547,1.20139,0.0044164,0.0044164,0.0044164
143,9676.36,0.81194,0.50899,0.93909,0.64132,0.54611,0.56182,0.3638,0.97332,0.69662,1.21042,0.0043768,0.0043768,0.0043768
144,9743.55,0.81123,0.50822,0.94339,0.62645,0.54861,0.55914,0.3618,0.96496,0.68668,1.2013,0.0043372,0.0043372,0.0043372
145,9810.91,0.80797,0.50631,0.94075,0.63442,0.54046,0.56115,0.36244,0.97432,0.68191,1.21276,0.0042976,0.0042976,0.0042976
146,9878.31,0.80596,0.50038,0.93052,0.66466,0.52635,0.55699,0.3601,0.97068,0.68962,1.20485,0.004258,0.004258,0.004258
147,9945.6,0.80287,0.49408,0.93233,0.62072,0.54823,0.55794,0.36095,0.97114,0.68307,1.20599,0.0042184,0.0042184,0.0042184
148,10012.9,0.79508,0.49429,0.93638,0.65084,0.53341,0.55704,0.3627,0.96803,0.68531,1.19639,0.0041788,0.0041788,0.0041788
149,10080.3,0.80112,0.49309,0.93744,0.65211,0.53583,0.56002,0.36657,0.96674,0.68133,1.19943,0.0041392,0.0041392,0.0041392
